id,year,published_date,label,full_title,doi,url,paradigm,secondary_paradigms,representation_class,chemistry_class,chemistry,data_size_bin,data_regime,validation_type,validation
"paper_kraken_2022","2022","2022-01-12","KRAKEN: Organophosphorus Ligand Discovery Platform","A Comprehensive Discovery Platform for Organophosphorus Ligands for Catalysis","10.1021/jacs.1c09718","https://doi.org/10.1021/jacs.1c09718","Ligand-space / screening","Physical / interpretable","Reusable ligand library","Organocatalysis","Organophosphorus ligands; homogeneous catalysis","virtual / computational","1,558 DFT ligands; >300,000 ML-predicted ligands","retrospective","Retrospective catalysis case studies / ligand selection"
"paper_target_data_2025","2025","2025-02-21","Target-specific Data Sets for Regioselectivity","Designing Target-specific Data Sets for Regioselectivity Predictions on Complex Substrates","10.1021/jacs.4c15902","https://doi.org/10.1021/jacs.4c15902","Bayesian / active learning","","Dataset / experimental loop","C–H functionalization","C–H functionalization / regioselectivity","unspecified","Literature data plus actively selected subsets","prospective experimental","Prospective experiments on complex targets"
"paper_minerva_2025","2025","2025-07-12","Minerva: Parallel Reaction Optimisation","Highly parallel optimisation of chemical reactions through automation and machine intelligence","10.1038/s41467-025-61803-0","https://doi.org/10.1038/s41467-025-61803-0","Autonomous / HTE","Bayesian / active learning","Dataset / experimental loop","Cross-coupling","Ni Suzuki; Pd Buchwald-Hartwig; process chemistry","50–200","96-well iterative experimental batches","autonomous closed-loop","Closed-loop experimental optimization"
"paper_flower_2025","2025","2025-08-20","FlowER: Electron Flow Matching","Electron flow matching for generative reaction mechanism prediction","10.1038/s41586-025-09426-9","https://doi.org/10.1038/s41586-025-09426-9","3D / deep learning","Mechanistic ML; Inverse / generative","Pretrained learned representation","Electrocatalysis","General organic reaction mechanisms","unspecified","Large reaction corpora with mechanistic representation","scaffold / OOD","OOD reaction classes; mechanism recovery"
"paper_duarte_almeta_2025","2026","2026","Active Learning + Metadynamics for Reactive MLIPs","Active learning meets metadynamics: automated workflow for reactive machine learning interatomic potentials","10.1039/D5DD00261C","https://doi.org/10.1039/D5DD00261C","Bayesian / active learning","MLIP / TS acceleration","MLIP / physics acceleration","Reaction mechanism / methodology","Reactive molecular systems; explicit/implicit solvent examples","n < 50","Typically 5–10 initial configurations then active learning","mixed / unspecified","Reactive PES / competing pathways"
"paper_meta_selectivity_2025","2025","2025-04-16","Meta-learning for Asymmetric Catalysis","A meta-learning approach for selectivity prediction in asymmetric catalysis","10.1038/s41467-025-58854-8","https://doi.org/10.1038/s41467-025-58854-8","Transfer / few-shot","","Pretrained learned representation","Asymmetric hydrogenation / reduction","Asymmetric hydrogenation of olefins","n < 50","Literature-derived multi-task / few-shot setting","mixed / unspecified","Out-of-sample catalytic tasks"
"paper_hcat_2025","2025","2025-03","HCat-GNet","Homogeneous catalyst graph neural network: A human-interpretable graph neural network tool for ligand optimization in asymmetric catalysis","10.1016/j.isci.2025.111881","https://doi.org/10.1016/j.isci.2025.111881","3D / deep learning","Physical / interpretable","Learned 3D / TS GNN","Ligand space / homogeneous method","Asymmetric homogeneous catalysis","unspecified","Benchmark asymmetric reaction datasets","prospective experimental","Prospective new ligand class in Rh 1,4-addition"
"paper_transfer_nature_2026","2026","2026-02-11","Transferable Enantioselectivity Models from Sparse Data","Transferable enantioselectivity models from sparse data","10.1038/s41586-026-10239-7","https://doi.org/10.1038/s41586-026-10239-7","Transfer / few-shot","Physical / interpretable; Mechanistic ML","Catalyst-state / mechanistic","Reaction mechanism / methodology","Ni-catalyzed asymmetric C(sp3) couplings","n < 50","Sparse catalytic datasets across related reactions","mixed / unspecified","Unseen ligands and reaction partners; optimization of weak scope examples"
"paper_bisphos_2025","2025","2025","Conformer-weighted Bisphosphine Descriptor Library","Bisphosphine ligand conformer selection to enhance descriptor database representation: improving statistical modelling outcomes","10.1039/D5SC04691B","https://doi.org/10.1039/D5SC04691B","Physical / interpretable","Autonomous / HTE","Conformer / ensemble descriptors","Ligand space / homogeneous method","Bisphosphine-ligated Pd complexes","unspecified","Descriptor-library + prior catalytic modeling datasets","retrospective","Improved predictive statistics in prior case studies"
"paper_hda_2025","2025","2025-08-15","Data Science-Guided Ni Homo-Diels-Alder","A Data Science-Guided Approach for the Development of Nickel-Catalyzed Homo-Diels–Alder Reactions","10.1021/jacs.5c09948","https://doi.org/10.1021/jacs.5c09948","Ligand-space / screening","Physical / interpretable","Physical / chemist descriptors","Asymmetric C–C / oxidation","Ni-catalyzed homo-Diels-Alder","unspecified","Small experimental ligand screen embedded in KRAKEN space","mixed / unspecified","Discovery of a chiral ligand / reaction development"
"paper_bunny_2026","2026","2026-06-01","BUNNY N,N-Bidentate Ligand Descriptor Library","BUNNY: An N , N -Bidentate Nitrogen Ligand Descriptor LibraryDevelopment and Application to Modeling of Ni-Catalyzed Asymmetric Cross-Electrophile Coupling Reactions","10.1021/acscatal.6c02585","https://doi.org/10.1021/acscatal.6c02585","Transfer / few-shot","Physical / interpretable; Mechanistic ML","Reusable ligand library","Electrocatalysis","Ni cross-electrophile coupling; N,N-bidentate ligands",">1000","~1,100 ligands; 31-ligand representative screen","scaffold / OOD","Two Ni-CEC case studies; cross-ligand-family modeling"
"paper_cernak_2026","2026","2026-06-17","50,688-Reaction C–N Coupling Dataset","A 50,688-Reaction Data Set Reveals General Ligands and Mechanistic Diversity in C–N Couplings","10.1021/jacs.6c05959","https://doi.org/10.1021/jacs.6c05959","Autonomous / HTE","Mechanistic ML; Transfer / few-shot","Dataset / experimental loop","Cross-coupling","Pd/Ni/Cu C–N coupling",">1000","50,688 reactions; 33 complexes; 166 ligands; 17 bases; 4 solvents; 3 temperatures","scaffold / OOD","Dense cross-metal condition overlap and metal-free controls"
"paper_reid_2025","2025","2025-05-09","Top-Down Mechanistic Elucidation with ML","Machine Learning Enables a Top-Down Approach to Mechanistic Elucidation in Asymmetric Catalysis","10.1021/acscatal.5c02264","https://doi.org/10.1021/acscatal.5c02264","Mechanistic ML","Physical / interpretable","Catalyst-state / mechanistic","Reaction mechanism / methodology","Asymmetric catalysis","unspecified","Small-to-medium reaction datasets","mixed / unspecified","Computational and experimental follow-up of inferred regimes"
"paper_qmworkflow_2026","2026","2026-05-26","Cost-Effective QM Workflows for Molecular ML","Cost-Effective Quantum-Mechanical Workflows for Molecular Machine Learning","10.1021/acscatal.6c02583","https://doi.org/10.1021/acscatal.6c02583","Other / mixed","Physical / interpretable","Overview / mixed","Reaction mechanism / methodology","General molecular ML / catalysis examples","unspecified","Low-cost descriptor generation across molecular datasets","mixed / unspecified","Benchmarks against higher-cost QM descriptor workflows"
"paper_denmark_2025","2025","2025-07-29","Sharpless AD Enantioselectivity Prediction","Data-Driven Prediction of Enantioselectivity for the Sharpless Asymmetric Dihydroxylation: Model Development and Experimental Validation","10.1021/acscentsci.5c00900","https://doi.org/10.1021/acscentsci.5c00900","Physical / interpretable","","Physical / chemist descriptors","Asymmetric C–C / oxidation","Sharpless asymmetric dihydroxylation",">1000","1,007 literature reactions","prospective experimental","Prospective experimental substrates"
"paper_reid_local_2025","2025","2025-03-31","Local Reaction Space in Asymmetric Catalysis","Evaluating Predictive Accuracy in Asymmetric Catalysis: A Machine Learning Perspective on Local Reaction Space","10.1021/acscatal.5c01051","https://doi.org/10.1021/acscatal.5c01051","Other / mixed","","Physical / chemist descriptors","Reaction mechanism / methodology","Asymmetric catalysis in sparse reaction spaces","unspecified","Small catalytic datasets with controlled local vs distant training examples","scaffold / OOD","Interpolation and extrapolation tests around target reactions"
"paper_lowdata_workflows_2025","2025","2025","ML Workflows Beyond Linear Models in Low-Data Regimes","Machine learning workflows beyond linear models in low-data regimes","10.1039/D5SC00996K","https://doi.org/10.1039/D5SC00996K","Other / mixed","Bayesian / active learning","Overview / mixed","Reaction mechanism / methodology","Low-data chemical modeling with catalysis relevance","n < 50","Eight datasets with 18-44 observations","scaffold / OOD","Interpolation, extrapolation, and de novo prediction benchmarks"
"paper_hartwig_ru_2026","2026","2026-07-23","3D Deep Learning for Ru Ketone Hydrogenation Enantioselectivity","Predicting Enantioselectivity of Ruthenium-Catalyzed Ketone Hydrogenation with 3D Structure-Based Deep Learning","10.1021/jacs.6c07313","https://doi.org/10.1021/jacs.6c07313","3D / deep learning","Mechanistic ML; Autonomous / HTE","Learned 3D / TS GNN","Asymmetric hydrogenation / reduction","Noyori-type Ru-catalyzed ketone hydrogenation","200–1000","Literature data plus >1,000 in-house HTE examples","scaffold / OOD","Extrapolation to structures distinct from training"
"paper_hartwig_libra_2026","2026","2026-08-24","Libra-ML for Rh Hydroformylation Regioselectivity","3D, Structure-Based, Deep Learning Approach to Predict the Regioselectivity of Olefin Hydroformylations","10.1021/jacs.6c11602","https://doi.org/10.1021/jacs.6c11602","3D / deep learning","","Learned 3D / TS GNN","Hydroformylation","Rh-catalyzed hydroformylation of terminal olefins","unspecified","Experimental catalyst/substrate outcomes with 3D catalyst representations","mixed / unspecified","Comparison with existing representations and out-of-sample outcomes"
"paper_pdni_transfer_2025","2025","2025-03-28","Pd to Ni Transfer Learning for Atroposelective Suzuki Coupling","Transfer Learning-Enabled Ligand Prediction for Ni-Catalyzed Atroposelective Suzuki–Miyaura Cross-Coupling Based on Mechanistic Similarity: Leveraging Pd Knowledge for Ni Discovery","10.1021/jacs.5c00838","https://doi.org/10.1021/jacs.5c00838","Transfer / few-shot","Mechanistic ML","Catalyst-state / mechanistic","Cross-coupling","Atroposelective Ni-catalyzed Suzuki-Miyaura coupling","200–1000","310 Pd reactions plus 21 Ni/Sadphos ligand points","mixed / unspecified","Predicted ligand enabled a new Ni catalytic reaction"
"paper_cats_2025","2025","2025-08-27","CaTS: Transition-State Screening for Catalyst Discovery","CaTS: Toward Scalable and Efficient Transition State Screening for Catalyst Discovery","10.1021/acscatal.5c03945","https://doi.org/10.1021/acscatal.5c03945","MLIP / TS acceleration","3D / deep learning; Mechanistic ML; Ligand-space / screening","MLIP / physics acceleration","Reaction mechanism / methodology","Metal-organic complex catalyst screening",">1000","10,000 small-molecule TS reactions; 327 catalyst examples; >1,000 screened complexes","mixed / unspecified","DFT validation of top candidates"
"paper_rmlp_2025","2025","2025-09-10","Reactive ML Potential for Organometallic TS Search and Ligand Screening","Accelerating Transition State Search and Ligand Screening for Organometallic Catalysis with Reactive Machine Learning Potential","10.1021/acs.jctc.5c01047","https://doi.org/10.1021/acs.jctc.5c01047","MLIP / TS acceleration","3D / deep learning; Mechanistic ML; Ligand-space / screening","MLIP / physics acceleration","Organocatalysis","Organometallic ethylene hydrogenation and ligand screening","unspecified","Automated reactive training data for organometallic pathways","mixed / unspecified","PES/IRC and screening benchmarks against quantum chemistry"
"paper_shearilicine_2026","2026","2026-06-02","ML-Assisted Ligand Optimization in Shearilicine Synthesis","Concise Total Synthesis of (+)-Shearilicine: A Machine Learning-Assisted Strategy for Ligand Optimization of an Enantioselective Palladium-Catalyzed α-Arylation","10.1021/jacs.5c21637","https://doi.org/10.1021/jacs.5c21637","Ligand-space / screening","","Physical / chemist descriptors","Cross-coupling","Enantioselective Pd-catalyzed alpha-arylation in total synthesis","virtual / computational",">120 BI-DIME-type ligands virtually screened","mixed / unspecified","New ligands improved a difficult asymmetric arylation"
"paper_sunoj_2026","2026","2026","ML for Catalytic Asymmetric Reactions of Simple Alkenes","Machine learning models for catalytic asymmetric reactions of simple alkenes: from enantioselectivity predictions to chemical insights","10.1039/D5DD00483G","https://doi.org/10.1039/D5DD00483G","Other / mixed","","Physical / chemist descriptors","Asymmetric C–C / oxidation","Catalytic asymmetric reactions of simple alkenes","n < 50","Sparse and imbalanced literature reaction datasets","mixed / unspecified","Representation/model comparisons across asymmetric reaction sets"
"paper_rajaraman_2025","2025","2025-05-03","QM + ML Design of Low-Valent Fe Catalysts for N2 Reduction","Leveraging Quantum Chemistry and Machine Learning for the Design of Low-Valent Transition Metal Catalysts in Nitrogen to Ammonia Conversion","10.1021/jacs.5c00099","https://doi.org/10.1021/jacs.5c00099","Mechanistic ML","","Catalyst-state / mechanistic","CO2 / N2 small-molecule catalysis","Low-valent Fe/CAAC homogeneous catalysts for N2-to-NH3 conversion","virtual / computational","Computational catalyst and dynamics data","mixed / unspecified","QM/MD mechanistic analysis linked to ML-derived design variables"
"paper_corminboeuf_flp_2026","2026","2026","Inverse Design of FLPs for CO2 Hydrogenation","Inverse design of frustrated Lewis pairs for direct catalytic CO 2 hydrogenation: refining and expanding design rules","10.1039/D5SC09530A","https://doi.org/10.1039/D5SC09530A","Inverse / generative","Ligand-space / screening","Overview / mixed","CO2 / N2 small-molecule catalysis","Frustrated Lewis pair catalysis for direct CO2 hydrogenation","virtual / computational","Virtual space on the order of 10^9 FLP candidates","mixed / unspecified","Mechanistic design rules plus constrained optimization"
"paper_milo_hie_2025","2025","2025-11-25","Data-Driven Mechanistic Analysis of Co(III) Hydrogen Isotope Exchange","Charting the influence of deuterium sources in hydrogen isotope exchange using a cobalt(III) catalytic platform","10.1038/s41929-025-01447-x","https://doi.org/10.1038/s41929-025-01447-x","Mechanistic ML","Physical / interpretable","Catalyst-state / mechanistic","C–H functionalization","Co(III)-catalyzed site-selective C-H deuteration","unspecified","Broad substrate/deuterium-source experimental matrix","mixed / unspecified","Mechanistic interpretation across sources and substrates"
"paper_moleclip_2025","2025","2025","Data-Efficient Molecular Image Representation Learning (MoleCLIP)","Data efficient molecular image representation learning using foundation models","10.1039/D5SC00907C","https://doi.org/10.1039/D5SC00907C","3D / deep learning","Physical / interpretable","Pretrained learned representation","Ligand space / homogeneous method","Property/reactivity prediction including homogeneous catalysis datasets","unspecified","Large unlabeled image pretraining then small labeled tasks","mixed / unspecified","Benchmarks vs image- and graph-based representations"
"paper_probability_scope_2025","2025","","Probability Guided Chemical Reaction Scopes","","","https://www.cambridge.org/engage/chemrxiv/article-details/67a66bde6dde43c908fb7a13","Other / mixed","","Dataset / experimental loop","Reaction mechanism / methodology","Condition suitability and reaction-scope prediction","unspecified","Small curated catalytic reaction scopes","mixed / unspecified","External targets and reaction-condition classification"
"paper_sigman_gold_2026","2026","2026-07-22","Predictive Statistical Analysis of Au(I) C-H Functionalization Selectivity","Understanding Selectivities in Gold(I)-Catalyzed Intramolecular C(sp3)–H Bond Functionalization through Predictive Statistical Analysis","10.1021/acscatal.6c03184","https://doi.org/10.1021/acscatal.6c03184","Physical / interpretable","","Physical / chemist descriptors","C–H functionalization","Au(I)-catalyzed cycloisomerization of 1-bromoalkynes","unspecified","Curated substrate set with conformational/steric features","scaffold / OOD","OOD substrates including a complex target"
"paper_pd_fluorination_2025","2025","2025-09-16","Data Science Development of Heteroleptic Pd Fluorination Catalyst","Development of a Heteroleptic Palladium Catalyst for the Fluorination of Arylboronic Acids using Data Science Tools","10.1021/jacs.5c11929","https://doi.org/10.1021/jacs.5c11929","Autonomous / HTE","Bayesian / active learning","Physical / chemist descriptors","Cross-coupling","Heteroleptic Pd-catalyzed fluorination of arylboronic acids","200–1000","HTE matrix plus data-science-guided scope selection","mixed / unspecified","Experimentally optimized catalyst and mechanistic follow-up"
"paper_ch_oxidation_2025","2025","2025-01-22","Predictive Modeling of Enantioselective Mn C-H Oxidation","Understanding Catalytic Enantioselective C–H Bond Oxidation at Nonactivated Methylenes Through Predictive Statistical Modeling Analysis","10.1021/acscatal.4c05659","https://doi.org/10.1021/acscatal.4c05659","Physical / interpretable","","Physical / chemist descriptors","C–H functionalization","Mn-catalyzed enantioselective oxidation of nonactivated methylene C-H bonds","unspecified","Catalyst/substrate selectivity data with computed descriptors","mixed / unspecified","Structure-selectivity interpretation and predictive tests"
